Sales,City,Date,Sales Rep,Type Wine
"$7,451",Los Angeles,Feb,Bill,Red
"$11,221",Los Angeles,Jun,Joe,Organic
"$9,525",San Francisco,Jun,Jane,Red
"$3,986",San Diego,May,Jane,Organic
"$11,667",San Diego,Apr,Bill,White
"$11,649",San Francisco,Mar,Jane,Red
"$9,010",San Diego,Feb,Jane,Red
"$5,686",Los Angeles,Jan,Joe,Red
"$9,121",San Francisco,Mar,Jane,Organic
"$8,703",San Francisco,Apr,Jane,Red
"$4,369",San Diego,Feb,Jane,Organic
"$5,936",Los Angeles,Feb,Bill,White
"$9,990",San Diego,May,Joe,Organic
"$5,217",San Diego,Apr,Bill,White
"$5,582",San Francisco,Apr,Joe,Red
"$7,913",Los Angeles,Jun,Jane,White
"$8,581",San Francisco,Jan,Joe,Red
"$7,472",San Diego,Feb,Bill,Red
"$4,716",San Francisco,Feb,Joe,White
"$3,020",San Diego,Jan,Jane,Organic
"$11,552",San Francisco,Apr,Jane,Red
"$8,507",Los Angeles,Mar,Joe,White
"$8,573",San Francisco,Mar,Bill,White
"$4,827",San Diego,Jun,Jane,Red
"$11,146",San Diego,Jun,Joe,Organic
"$10,898",San Diego,Apr,Jane,Red
"$10,424",San Francisco,Apr,Bill,White
"$6,077",Los Angeles,Apr,Bill,White
"$4,908",Los Angeles,Feb,Jane,White
"$4,652",San Francisco,Jan,Jane,White
"$7,498",San Diego,Apr,Joe,Organic
"$4,641",San Diego,Jun,Bill,White
"$10,440",San Diego,Jan,Jane,White
"$4,168",San Diego,Mar,Joe,Red
"$4,031",San Francisco,Feb,Bill,White
"$4,031",San Francisco,Feb,Jane,White
"$7,498",San Diego,Apr,Jane,Organic
"$8,305",San Diego,Feb,Jane,Red
"$4,788",San Francisco,May,Jane,White
"$11,953",San Diego,May,Joe,White
"$11,482",San Francisco,Jun,Jane,Red
"$11,959",San Diego,Jan,Jane,White
"$8,681",San Francisco,Jun,Jane,Organic
"$10,399",Los Angeles,Mar,Joe,Red
"$11,310",Los Angeles,Feb,Joe,Red
"$6,981",San Francisco,Jun,Jane,Organic
"$8,758",Los Angeles,May,Jane,Organic
"$9,837",San Diego,May,Bill,Red
"$4,276",San Francisco,Apr,Joe,White
"$7,515",San Francisco,Apr,Bill,Red
"$10,497",Los Angeles,May,Bill,Red
"$8,587",San Francisco,Jan,Bill,White
"$7,373",Los Angeles,Feb,Joe,White
"$8,722",San Francisco,Jan,Joe,Red
"$5,607",San Francisco,Jun,Joe,White
"$11,029",San Francisco,Jan,Bill,White
"$6,262",San Francisco,Mar,Bill,Organic
"$9,432",San Diego,May,Bill,Organic
"$6,685",San Diego,Apr,Joe,Organic
"$3,913",San Diego,Jan,Joe,Red
"$7,642",Los Angeles,Mar,Bill,Organic
"$9,549",San Diego,Mar,Jane,White
"$9,014",San Diego,Feb,Bill,White
"$7,390",San Francisco,May,Jane,Organic
"$3,390",Los Angeles,Feb,Bill,Red
"$4,670",San Francisco,Jun,Joe,Organic
"$8,535",Los Angeles,Jun,Jane,Red
"$9,112",San Francisco,May,Bill,Red
"$8,197",San Francisco,Jan,Joe,Red
"$3,287",Los Angeles,Jan,Jane,Red
"$6,388",Los Angeles,Apr,Bill,White
"$9,887",San Diego,Jan,Joe,Red
"$6,326",Los Angeles,Feb,Joe,Organic
"$10,694",Los Angeles,Jan,Joe,White
"$9,779",San Francisco,Jun,Bill,Red
"$10,157",San Francisco,May,Joe,Red
"$5,286",San Francisco,Jan,Joe,Red
"$8,516",Los Angeles,May,Bill,White
"$7,177",San Diego,Apr,Bill,White
"$6,312",Los Angeles,May,Joe,Organic
"$5,546",San Diego,Feb,Bill,Red
"$5,294",San Francisco,Jan,Jane,White
"$7,879",San Francisco,Mar,Jane,White
"$6,437",San Francisco,Jun,Bill,Red
"$6,061",San Diego,Jan,Jane,Organic
"$7,763",San Francisco,Jun,Jane,White
"$5,761",Los Angeles,Jun,Bill,Red
"$9,248",San Francisco,Apr,Joe,Organic
"$10,919",San Francisco,Feb,Joe,White
"$11,498",Los Angeles,Jan,Bill,White
"$8,950",San Diego,May,Jane,White
"$9,133",Los Angeles,Mar,Joe,White
"$9,332",San Francisco,Apr,Bill,Red
"$5,437",Los Angeles,Feb,Joe,White
"$7,914",San Diego,Feb,Joe,White
"$8,559",Los Angeles,May,Jane,Red
"$8,274",San Francisco,Mar,Bill,White
"$3,877",San Diego,Jan,Jane,Organic
"$3,407",San Francisco,Jan,Bill,Red
"$5,605",San Diego,Jun,Jane,Red
,,,,
